pool_size,actual_pool_size,repeat,tasks,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n
10,10,0,87,0.9770114942528736,0.9885057471264368,0.9885057471264368,1.0,0.8572249589490969,0.955336617405583,1.0,0.9846743295019157,0.9747472705916765,87
10,10,1,87,0.9655172413793104,1.0,1.0,1.0,0.8520525451559934,0.9576354679802955,1.0,0.9827586206896551,0.9707509819492844,87
10,10,2,87,0.9655172413793104,1.0,1.0,1.0,0.861056376573618,0.969704433497537,1.0,0.9827586206896551,0.9724145946515382,87
10,10,3,87,0.9540229885057471,1.0,1.0,1.0,0.8558839627805145,0.9593596059113301,1.0,0.975095785440613,0.9670762250692913,87
10,10,4,87,0.9540229885057471,1.0,1.0,1.0,0.8566502463054187,0.9601258894362342,1.0,0.9731800766283525,0.9688282116830974,87
10,10,5,87,0.9655172413793104,1.0,1.0,1.0,0.8424740010946907,0.9476737821565407,1.0,0.9808429118773946,0.9683842536319603,87
10,10,6,87,0.9770114942528736,0.9885057471264368,1.0,1.0,0.8405582922824302,0.9599343185550082,1.0,0.985632183908046,0.9726190111175859,87
10,10,7,87,0.9540229885057471,0.9885057471264368,1.0,1.0,0.8539682539682539,0.9708538587848933,1.0,0.9741379310344828,0.9672679998972029,87
10,10,8,87,0.9885057471264368,1.0,1.0,1.0,0.8491789819376027,0.9614668856048166,1.0,0.9942528735632183,0.9776040176337509,87
10,10,9,87,0.9655172413793104,1.0,1.0,1.0,0.8392172961138479,0.966447728516694,1.0,0.9827586206896551,0.9673307580408108,87
10,10,10,87,0.9655172413793104,1.0,1.0,1.0,0.8415161466885605,0.9472906403940887,1.0,0.9808429118773946,0.9654370428523016,87
10,10,11,87,0.9655172413793104,1.0,1.0,1.0,0.857799671592775,0.9695128626163109,1.0,0.9808429118773946,0.9720865251081152,87
10,10,12,87,0.9655172413793104,0.9885057471264368,1.0,1.0,0.8361521620142309,0.9543787629994527,1.0,0.9798850574712644,0.9675326553433287,87
