task,distractor_type,pool_size,actual_pool_size,repeat,gold_count,distractor_count,hard_negative_count,hard_negative_purity,fallback_distractors,returned_count,positive_score_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
3d-scan-calc,random,50,50,0,1,49,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,random,50,50,0,5,45,0,0.0,0,10,12,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9708923176105698,1
azure-bgp-oscillation-route-leak,random,50,50,0,1,49,0,0.0,0,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,random,50,50,0,4,46,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,random,50,50,0,1,49,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,random,50,50,0,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,random,50,50,0,2,48,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
data-to-d3,random,50,50,0,1,49,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,random,50,50,0,1,49,0,0.0,0,10,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,random,50,50,0,4,46,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,random,50,50,0,4,46,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9447176050778178,1
earthquake-plate-calculation,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
