task,condition,repeat,skill_id,retrieval_correct,relevance_rank,reciprocal_relevance_rank,top10_relevant,top100_relevant
3d-scan-calc,no_skill,0,,,,0.0,0.0,0.0
3d-scan-calc,gold_skill,0,benchflow-ai--mesh-analysis,True,32,0.03125,0.0,1.0
3d-scan-calc,retrieved_top1_full,0,benchflow-ai--mesh-analysis,True,32,0.03125,0.0,1.0
3d-scan-calc,hard_distractor,0,melodic-software--evolution-analysis,False,,0.0,0.0,0.0
3d-scan-calc,random_wrong,0,liuchiawei--copywriting,False,,0.0,0.0,0.0
3d-scan-calc,no_skill,1,,,,0.0,0.0,0.0
3d-scan-calc,gold_skill,1,benchflow-ai--mesh-analysis,True,32,0.03125,0.0,1.0
3d-scan-calc,retrieved_top1_full,1,benchflow-ai--mesh-analysis,True,32,0.03125,0.0,1.0
3d-scan-calc,hard_distractor,1,melodic-software--evolution-analysis,False,,0.0,0.0,0.0
3d-scan-calc,random_wrong,1,petekp--hierarchical-matching-systems,False,,0.0,0.0,0.0
3d-scan-calc,no_skill,2,,,,0.0,0.0,0.0
3d-scan-calc,gold_skill,2,benchflow-ai--mesh-analysis,True,32,0.03125,0.0,1.0
3d-scan-calc,retrieved_top1_full,2,benchflow-ai--mesh-analysis,True,32,0.03125,0.0,1.0
3d-scan-calc,hard_distractor,2,melodic-software--evolution-analysis,False,,0.0,0.0,0.0
3d-scan-calc,random_wrong,2,cursor--weekly-review,False,,0.0,0.0,0.0
adaptive-cruise-control,no_skill,0,,,,0.0,0.0,0.0
adaptive-cruise-control,gold_skill,0,benchflow-ai--csv-processing,True,311,0.003215434083601286,0.0,0.0
adaptive-cruise-control,retrieved_top1_full,0,benchflow-ai--csv-processing,True,311,0.003215434083601286,0.0,0.0
adaptive-cruise-control,hard_distractor,0,famaoai-creator--data-transformer,False,,0.0,0.0,0.0
adaptive-cruise-control,random_wrong,0,nesnilnehc--review-go,False,,0.0,0.0,0.0
adaptive-cruise-control,no_skill,1,,,,0.0,0.0,0.0
adaptive-cruise-control,gold_skill,1,benchflow-ai--csv-processing,True,311,0.003215434083601286,0.0,0.0
adaptive-cruise-control,retrieved_top1_full,1,benchflow-ai--csv-processing,True,311,0.003215434083601286,0.0,0.0
adaptive-cruise-control,hard_distractor,1,famaoai-creator--data-transformer,False,,0.0,0.0,0.0
adaptive-cruise-control,random_wrong,1,furiosa-ai--prepare-docs,False,,0.0,0.0,0.0
adaptive-cruise-control,no_skill,2,,,,0.0,0.0,0.0
adaptive-cruise-control,gold_skill,2,benchflow-ai--csv-processing,True,311,0.003215434083601286,0.0,0.0
adaptive-cruise-control,retrieved_top1_full,2,benchflow-ai--csv-processing,True,311,0.003215434083601286,0.0,0.0
adaptive-cruise-control,hard_distractor,2,famaoai-creator--data-transformer,False,,0.0,0.0,0.0
adaptive-cruise-control,random_wrong,2,hookdeck--shopify-webhooks,False,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,no_skill,0,,,,0.0,0.0,0.0
azure-bgp-oscillation-route-leak,gold_skill,0,benchflow-ai--azure-bgp,True,1,1.0,1.0,1.0
azure-bgp-oscillation-route-leak,retrieved_top1_full,0,eyadsibai--networkx,False,,0.0,0.0,0.0
