condition_id,task,distractor_type,noise_count,gold_count,menu_size,gold_fraction,gold_positions,mean_distractor_gold_similarity,max_distractor_gold_similarity,parse_status,parse_mode,selected_count,selected_skill_ids,prompt_tokens,completion_tokens,total_tokens,latency_seconds,retry_count,precision_inclusive,precision_conditional,gold_recall,selection_f1,exact_set_match,complete_gold_coverage,missing_gold_count,extra_skill_count,any_wrong_selection,empty_selection,jaccard
3d-scan-calc|shared|n0,3d-scan-calc,shared,0,1,1,1.0,1,,,ok,strict,1,benchflow-ai--mesh-analysis,160,6,166,2.0222,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|random|n2,3d-scan-calc,random,2,1,3,0.333333,1,,,ok,strict,1,benchflow-ai--mesh-analysis,274,6,280,3.8587,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|hard|n2,3d-scan-calc,hard,2,1,3,0.333333,3,0.404831,0.514838,ok,strict,1,benchflow-ai--mesh-analysis,249,6,255,2.4012,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|random|n5,3d-scan-calc,random,5,1,6,0.166667,1,,,ok,strict,1,benchflow-ai--mesh-analysis,393,6,399,2.1957,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|hard|n5,3d-scan-calc,hard,5,1,6,0.166667,4,0.398675,0.514838,ok,strict,1,benchflow-ai--mesh-analysis,420,6,426,2.1814,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|random|n10,3d-scan-calc,random,10,1,11,0.090909,4,,,ok,strict,1,benchflow-ai--mesh-analysis,754,6,760,2.3997,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|hard|n10,3d-scan-calc,hard,10,1,11,0.090909,6,0.349673,0.514838,ok,strict,1,benchflow-ai--mesh-analysis,609,6,615,2.9677,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|random|n20,3d-scan-calc,random,20,1,21,0.047619,9,,,ok,strict,1,benchflow-ai--mesh-analysis,1403,6,1409,4.4329,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
3d-scan-calc|hard|n20,3d-scan-calc,hard,20,1,21,0.047619,9,0.326214,0.514838,ok,strict,1,benchflow-ai--mesh-analysis,1230,6,1236,2.303,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
adaptive-cruise-control|shared|n0,adaptive-cruise-control,shared,0,5,5,1.0,1;2;3;4;5,,,ok,strict,3,benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--yaml-config,315,12,327,3.225,0,1.0,1.0,0.6,0.75,0.0,0.0,2,0,0.0,0.0,0.6
adaptive-cruise-control|random|n2,adaptive-cruise-control,random,2,5,7,0.714286,1;2;3;6;7,,,ok,strict,3,benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--yaml-config,400,12,412,2.9445,0,1.0,1.0,0.6,0.75,0.0,0.0,2,0,0.0,0.0,0.6
adaptive-cruise-control|hard|n2,adaptive-cruise-control,hard,2,5,7,0.714286,1;2;3;5;7,0.558042,0.729764,ok,strict,4,benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--yaml-config;famaoai-creator--data-transformer,355,15,370,3.1658,0,0.75,0.75,0.6,0.666667,0.0,0.0,2,1,1.0,0.0,0.5
adaptive-cruise-control|random|n5,adaptive-cruise-control,random,5,5,10,0.5,1;2;3;7;8,,,ok,strict,3,benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--yaml-config,491,12,503,2.3693,0,1.0,1.0,0.6,0.75,0.0,0.0,2,0,0.0,0.0,0.6
adaptive-cruise-control|hard|n5,adaptive-cruise-control,hard,5,5,10,0.5,1;2;4;7;9,0.572022,0.729764,ok,strict,4,benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--yaml-config;famaoai-creator--data-transformer,528,15,543,3.1831,0,0.75,0.75,0.6,0.666667,0.0,0.0,2,1,1.0,0.0,0.5
adaptive-cruise-control|random|n10,adaptive-cruise-control,random,10,5,15,0.333333,2;3;6;11;13,,,ok,strict,3,benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--yaml-config,750,13,763,2.225,0,1.0,1.0,0.6,0.75,0.0,0.0,2,0,0.0,0.0,0.6
adaptive-cruise-control|hard|n10,adaptive-cruise-control,hard,10,5,15,0.333333,2;3;5;9;11,0.501228,0.729764,ok,strict,4,HeshamFS--post-processing;benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--yaml-config,746,32,778,3.5909,0,0.75,0.75,0.6,0.666667,0.0,0.0,2,1,1.0,0.0,0.5
adaptive-cruise-control|random|n20,adaptive-cruise-control,random,20,5,25,0.2,4;5;9;15;18,,,ok,strict,4,benchflow-ai--csv-processing;benchflow-ai--pid-controller;benchflow-ai--simulation-metrics;benchflow-ai--yaml-config,1444,21,1465,2.746,0,1.0,1.0,0.8,0.888889,0.0,0.0,1,0,0.0,0.0,0.8
adaptive-cruise-control|hard|n20,adaptive-cruise-control,hard,20,5,25,0.2,3;4;7;16;18,0.524443,0.729764,ok,strict,7,artificialanalysis--data-analysis;benchflow-ai--csv-processing;benchflow-ai--yaml-config;curiouslearner--csv-processor;jeremylongshore--yaml-master;laurigates--yq-yaml-processing;vamseeachanta--yaml-configuration,1176,27,1203,2.3031,0,0.285714,0.285714,0.4,0.333333,0.0,0.0,3,5,1.0,0.0,0.2
azure-bgp-oscillation-route-leak|shared|n0,azure-bgp-oscillation-route-leak,shared,0,1,1,1.0,1,,,ok,strict,1,benchflow-ai--azure-bgp,178,6,184,2.2817,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
azure-bgp-oscillation-route-leak|random|n2,azure-bgp-oscillation-route-leak,random,2,1,3,0.333333,3,,,ok,strict,1,benchflow-ai--azure-bgp,383,6,389,1.9165,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
azure-bgp-oscillation-route-leak|hard|n2,azure-bgp-oscillation-route-leak,hard,2,1,3,0.333333,1,0.096666,0.156975,ok,strict,1,benchflow-ai--azure-bgp,284,6,290,2.3008,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
azure-bgp-oscillation-route-leak|random|n5,azure-bgp-oscillation-route-leak,random,5,1,6,0.166667,4,,,ok,strict,1,benchflow-ai--azure-bgp,535,6,541,1.9999,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
azure-bgp-oscillation-route-leak|hard|n5,azure-bgp-oscillation-route-leak,hard,5,1,6,0.166667,4,0.159613,0.267153,ok,strict,2,benchflow-ai--azure-bgp;eyadsibai--networkx,508,9,517,2.4746,0,0.5,0.5,1.0,0.666667,0.0,1.0,0,1,1.0,0.0,0.5
azure-bgp-oscillation-route-leak|random|n10,azure-bgp-oscillation-route-leak,random,10,1,11,0.090909,7,,,ok,strict,1,benchflow-ai--azure-bgp,772,6,778,3.8751,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0
