distractor_type,noise_count,n_conditions,n_valid,invalid_response_rate,macro_f1,macro_precision_inclusive,macro_precision_conditional,macro_gold_recall,exact_set_match_rate,complete_gold_coverage_rate,mean_missing_gold_count,mean_extra_skill_count,any_wrong_selection_rate,empty_selection_rate,mean_jaccard,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,median_latency_seconds,p90_latency_seconds
hard,0,87,87,0.0,0.81798,0.977011,1.0,0.751669,0.54023,0.54023,0.896552,0.0,0.0,0.022989,0.751669,253.0,8.3,261.3,2.8164,4.155
hard,2,87,87,0.0,0.572345,0.565134,0.571705,0.688451,0.114943,0.482759,1.045977,1.229885,0.747126,0.011494,0.450835,377.8,11.6,389.4,2.7713,3.7214
hard,5,87,87,0.0,0.507372,0.472163,0.472163,0.709524,0.103448,0.528736,1.0,2.298851,0.804598,0.0,0.387275,561.4,15.6,577.0,3.1204,4.3019
hard,10,87,87,0.0,0.475879,0.436275,0.436275,0.721401,0.126437,0.54023,0.91954,3.528736,0.816092,0.0,0.36439,847.4,25.1,872.5,3.2491,4.9144
hard,20,87,87,0.0,0.383253,0.333059,0.333059,0.656459,0.068966,0.471264,1.08046,5.310345,0.896552,0.0,0.282333,1429.5,39.4,1469.0,3.654,5.7538
random,0,87,87,0.0,0.81798,0.977011,1.0,0.751669,0.54023,0.54023,0.896552,0.0,0.0,0.022989,0.751669,253.0,8.3,261.3,2.8164,4.155
random,2,87,87,0.0,0.865667,0.988506,1.0,0.810208,0.62069,0.62069,0.701149,0.0,0.0,0.011494,0.810208,360.6,8.9,369.5,2.7735,3.9757
random,5,87,87,0.0,0.875534,0.988506,1.0,0.820854,0.62069,0.62069,0.655172,0.0,0.0,0.011494,0.820854,546.0,9.6,555.6,2.5862,3.5902
random,10,87,87,0.0,0.884631,0.991379,0.991379,0.836563,0.632184,0.643678,0.597701,0.034483,0.034483,0.0,0.830884,848.4,10.7,859.1,2.8281,3.9058
random,20,87,87,0.0,0.882056,0.977969,0.977969,0.843076,0.62069,0.655172,0.563218,0.068966,0.068966,0.0,0.828106,1447.8,12.5,1460.3,3.013,4.3727
