distractor_type,noise_count,n_conditions,correct_count,correct_rate,under_selection_count,under_selection_rate,over_selection_count,over_selection_rate,mixed_count,mixed_rate,refusal_count,refusal_rate,invalid_count,invalid_rate
hard,0,87,47,0.5402,38,0.4368,0,0.0,0,0.0,2,0.023,0,0.0
hard,2,87,10,0.1149,11,0.1264,32,0.3678,33,0.3793,1,0.0115,0,0.0
hard,5,87,9,0.1034,8,0.092,37,0.4253,33,0.3793,0,0.0,0,0.0
hard,10,87,11,0.1264,5,0.0575,36,0.4138,35,0.4023,0,0.0,0,0.0
hard,20,87,6,0.069,3,0.0345,35,0.4023,43,0.4943,0,0.0,0,0.0
random,0,87,47,0.5402,38,0.4368,0,0.0,0,0.0,2,0.023,0,0.0
random,2,87,54,0.6207,32,0.3678,0,0.0,0,0.0,1,0.0115,0,0.0
random,5,87,54,0.6207,32,0.3678,0,0.0,0,0.0,1,0.0115,0,0.0
random,10,87,55,0.6322,29,0.3333,1,0.0115,2,0.023,0,0.0,0,0.0
random,20,87,54,0.6207,27,0.3103,3,0.0345,3,0.0345,0,0.0,0,0.0
