distractor_type,noise_count,n_valid,routing_exact_set_match,routing_macro_f1,est_end_to_end_exact_routing,task_paired_end_to_end_exact
hard,0,87,0.5402,0.818,0.1863,0.2989
hard,2,87,0.1149,0.5723,0.0396,0.0805
hard,5,87,0.1034,0.5074,0.0357,0.092
hard,10,87,0.1264,0.4759,0.0436,0.1034
hard,20,87,0.069,0.3833,0.0238,0.069
random,0,87,0.5402,0.818,0.1863,0.2989
random,2,87,0.6207,0.8657,0.214,0.3218
random,5,87,0.6207,0.8755,0.214,0.3218
random,10,87,0.6322,0.8846,0.218,0.3218
random,20,87,0.6207,0.8821,0.214,0.3103
